,precision,recall,f1-score,support
0,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
1,0.7463556851311953,0.8037676609105181,0.7739984882842026,637.0
2,0.630188679245283,0.5422077922077922,0.5828970331588132,308.0
3,0.7480916030534351,0.6555183946488294,0.6987522281639929,299.0
4,0.89,0.9260115606936417,0.9076487252124645,865.0
5,0.8710462287104623,0.8081264108352144,0.8384074941451991,443.0
6,0.6140350877192983,0.5737704918032787,0.5932203389830508,122.0
7,0.8590504451038575,0.8726450640542577,0.8657943925233644,1327.0
8,0.56,0.3684210526315789,0.4444444444444444,38.0
9,0.88,0.8461538461538461,0.8627450980392157,26.0
10,0.8850415512465374,0.9383259911894273,0.9109052031361369,681.0
accuracy,0.8273471959672338,0.8273471959672338,0.8273471959672338,0.8273471959672338
macro avg,0.759134176988794,0.678934690769247,0.7000941516648279,4761.0
weighted avg,0.8234982295780919,0.8273471959672338,0.8238372159267964,4761.0
